ID;Nom;Parent;Parent-ID;Synonymes;Ordre;Nb. fils;Nb. desc.;Nb. Pub.
c_64689;Nutrition, diététique;Diagnostic et traitements;c_64705;;0;0;0;498
c_64691;?il;Maladies et états de santé;c_64654;;0;1;1;666
c_64692;Chirurgie orthopédique et traumatologique;Procédures chirurgicales;c_1151644;;5;0;0;471
c_64695;ORL;Maladies et états de santé;c_64654;;0;6;6;562
c_64696;Enfants - Adolescents;Populations spécifiques;c_1151628;"Enfants - Adolescents
Pédiatrie
Adolescents";0;0;0;2781
c_64698;Appareil respiratoire;Maladies et états de santé;c_64654;;0;6;6;1253
c_64699;Articulations et rhumatismes;Appareil locomoteur;c_1151778;"Articulations et rhumatismes
Rhumatismes et articulations";0;0;0;1007
c_64700;Troubles mentaux et comportementaux;Maladies et états de santé;c_64654;;0;9;9;1058
c_64702;Soins palliatifs et fin de vie;Diagnostic et traitements;c_64705;"Soins palliatifs et fin de vie
Fin de vie et soins palliatifs";0;0;0;54
c_64704;Système urinaire;Maladies et états de santé;c_64654;;0;7;7;774
c_64705;Diagnostic et traitements;Thématique;j_7;;2;18;38;14847
c_64706;Accréditation des médecins;Qualité des soins et de l?accompagnement;c_1234312;;0;21;21;6583
c_64707;Certification des établissements de santé;Qualité des soins et de l?accompagnement;c_1234312;accréditation des établissements;0;0;0;4163
c_64708;Qualité et sécurité des soins;Qualité des soins et de l?accompagnement;c_1234312;"Qualité et sécurité des soins
Sécurité et qualité des soins";0;0;0;1998
c_64709;Méthodologie;Économie et santé publique;c_64710;;0;0;0;259
c_64710;Économie et santé publique;Thématique;j_7;;5;8;8;2108
c_64711;Dépistage, prévention;Économie et santé publique;c_64710;;0;0;0;473
c_64712;Économie de la santé;Économie et santé publique;c_64710;;0;0;0;616
c_64713;Education thérapeutique;Diagnostic et traitements;c_64705;;0;0;0;58
c_64714;Information et droits des usagers;Droits des usagers;c_1151654;"Information et droits des usagers
Droits et information des usagers";1;0;0;379
c_64715;Informatique médicale;E-santé;c_2839724;;0;0;0;154
c_64717;Organisation des soins;Économie et santé publique;c_64710;;0;0;0;829
c_429236;Dossier du patient;Droits des usagers;c_1151654;;0;0;0;72
c_435385;Chirurgie cardiaque;Procédures chirurgicales;c_1151644;;1;0;0;159
c_645734;Intoxications - Iatrogénie;Maladies et états de santé;c_64654;;0;0;0;91
c_755598;Anesthésie Réanimation;Accréditation des médecins;c_64706;"Anesthésie-réanimation ; Activité de réanimation ; Activité de soins intensifs ;";1;0;0;1097
c_755599;Cardiologie interventionnelle;Accréditation des médecins;c_64706;Cardiologie (activité interventionnelle);2;0;0;43
c_755600;Chirurgie maxillo-faciale et stomatologie;Accréditation des médecins;c_64706;"Chirurgie maxillo-faciale et stomatologie ; Chirurgie maxillo-faciale ; Stomatologie (activité chirurgicale)";3;0;0;42
c_755601;Chirurgie orthopédique et traumatologie;Accréditation des médecins;c_64706;"Chirurgie orthopédique et traumatologie
chirurgien orthopédiste";4;0;0;1621
c_755602;Chirurgie plastique, reconstructrice et esthétique;Accréditation des médecins;c_64706;"Chirurgie plastique
reconstructrice et esthétique";5;0;0;279
c_755603;Chirurgie thoracique et cardio-vasculaire;Accréditation des médecins;c_64706;Chirurgie thoracique et cardio-vasculaire;6;0;0;204
c_755604;Chirurgie générale;Accréditation des médecins;c_64706;"Chirurgie générale ;";7;0;0;0
c_755605;Chirurgie infantile;Accréditation des médecins;c_64706;Chirurgie infantile;8;0;0;50
c_755606;Chirurgie urologique;Accréditation des médecins;c_64706;Chirurgie urologique;9;0;0;197
c_755607;Chirurgie vasculaire;Accréditation des médecins;c_64706;Chirurgie vasculaire;10;0;0;299
c_755608;Chirurgie viscérale et digestive;Accréditation des médecins;c_64706;Chirurgie viscérale et digestive;11;0;0;820
c_755609;Echographie foetale;Accréditation des médecins;c_64706;"Activité d'échographie obstétricale ; échographie f?tale";12;0;0;20
c_755610;Gastro-entérologie interventionnelle;Accréditation des médecins;c_64706;Gastro-entérologie (activité interventionnelle);13;0;0;284
